"","year","n","dec","ko_tko","other","Submission","dec_share","ko_tko_share","other_share","Submission_share"
"1",1991,1,0,1,0,0,0,100,0,0
"2",1993,11,0,3,0,8,0,27.2727272727273,0,72.7272727272727
"3",1994,30,0,10,0,20,0,33.3333333333333,0,66.6666666666667
"4",1995,54,3,16,0,35,5.55555555555556,29.6296296296296,0,64.8148148148148
"5",1996,60,3,28,0,29,5,46.6666666666667,0,48.3333333333333
"6",1997,94,15,26,0,53,15.9574468085106,27.6595744680851,0,56.3829787234042
"7",1998,101,12,28,6,55,11.8811881188119,27.7227722772277,5.94059405940594,54.4554455445545
"8",1999,197,39,58,1,99,19.7969543147208,29.4416243654822,0.50761421319797,50.253807106599
"9",2000,291,71,86,3,131,24.3986254295533,29.553264604811,1.03092783505155,45.0171821305842
"10",2001,359,97,109,6,147,27.0194986072423,30.3621169916435,1.67130919220056,40.9470752089136
"11",2002,474,136,170,4,164,28.6919831223629,35.8649789029536,0.843881856540084,34.5991561181435
"12",2003,662,181,217,4,260,27.3413897280967,32.7794561933535,0.604229607250755,39.2749244712991
"13",2004,817,230,264,5,318,28.1517747858017,32.3133414932681,0.611995104039168,38.9228886168911
"14",2005,1032,243,384,8,397,23.546511627907,37.2093023255814,0.775193798449612,38.468992248062
"15",2006,1633,421,576,21,615,25.780771586038,35.272504592774,1.28597672994489,37.6607470912431
"16",2007,2006,504,687,24,791,25.1246261216351,34.247258225324,1.19641076769691,39.431704885344
"17",2008,2153,544,765,23,821,25.2670692057594,35.5318160705992,1.06827682303762,38.1328379006038
"18",2009,2775,734,946,30,1065,26.4504504504505,34.0900900900901,1.08108108108108,38.3783783783784
"19",2010,3178,948,1041,32,1157,29.8300818124607,32.7564505978603,1.00692259282568,36.4065449968534
"20",2011,3181,1016,1029,24,1112,31.9396416221314,32.34831813895,0.754479723357435,34.9575605155611
"21",2012,2980,935,994,26,1025,31.3758389261745,33.3557046979866,0.87248322147651,34.3959731543624
"22",2013,2712,884,931,24,873,32.5958702064897,34.3289085545723,0.884955752212389,32.1902654867257
"23",2014,2047,742,688,26,591,36.2481680508061,33.6101612115291,1.27015144113337,28.8715192965315
"24",2015,660,266,225,10,159,40.3030303030303,34.0909090909091,1.51515151515152,24.0909090909091
