"","year","Men Fight Time","Women Fight Time"
"1",2000,359.979094076655,293.25
"2",2001,394.670391061453,71
"3",2002,406.076923076923,251.833333333333
"4",2003,383.433179723502,231.181818181818
"5",2004,398.653603034134,446.230769230769
"6",2005,375.684052156469,452.685714285714
"7",2006,388.013950538998,428.464285714286
"8",2007,386.361534419338,425.271844660194
"9",2008,404.099375900144,402.671428571429
"10",2009,420.413213885778,484.875
"11",2010,458.761525704809,480
"12",2011,477.703278688525,471.06106870229
"13",2012,469.889727011494,484.984693877551
"14",2013,501.936102236422,573.995192307692
"15",2014,540.922050186866,595.609195402299
"16",2015,604.227424749164,628.467741935484
